Image,VulnerabilityID,PkgName,InstalledVersion,Severity
node:latest,CVE-2024-26458,krb5-multidev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,krb5-multidev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,krb5-multidev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,krb5-multidev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,krb5-multidev,1.20.1-2+deb12u1,LOW
node:latest,CVE-2023-6879,libaom3,3.6.0-1,CRITICAL
node:latest,CVE-2023-39616,libaom3,3.6.0-1,HIGH
node:latest,CVE-2024-5171,libaom3,3.6.0-1,HIGH
node:latest,CVE-2011-3374,libapt-pkg6.0,2.6.1,LOW
node:latest,CVE-2023-4039,libasan8,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libasan8,12.2.0-14,LOW
node:latest,CVE-2023-4039,libatomic1,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libatomic1,12.2.0-14,LOW
node:latest,CVE-2017-13716,libbinutils,2.40-2,LOW
node:latest,CVE-2018-18483,libbinutils,2.40-2,LOW
node:latest,CVE-2018-20673,libbinutils,2.40-2,LOW
node:latest,CVE-2018-20712,libbinutils,2.40-2,LOW
node:latest,CVE-2018-9996,libbinutils,2.40-2,LOW
node:latest,CVE-2021-32256,libbinutils,2.40-2,LOW
node:latest,CVE-2023-1972,libbinutils,2.40-2,LOW
node:latest,CVE-2022-0563,libblkid-dev,2.38.1-5+deb12u1,LOW
node:latest,CVE-2022-0563,libblkid1,2.38.1-5+deb12u1,LOW
node:latest,CVE-2010-4756,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2018-20796,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010022,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010023,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010024,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010025,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-9192,libc-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2010-4756,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2018-20796,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010022,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010023,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010024,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010025,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2019-9192,libc-dev-bin,2.36-9+deb12u7,LOW
node:latest,CVE-2010-4756,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2018-20796,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010022,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010023,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010024,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010025,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2019-9192,libc6,2.36-9+deb12u7,LOW
node:latest,CVE-2010-4756,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2018-20796,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010022,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010023,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010024,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2019-1010025,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2019-9192,libc6-dev,2.36-9+deb12u7,LOW
node:latest,CVE-2017-7475,libcairo-gobject2,1.16.0-7,LOW
node:latest,CVE-2018-18064,libcairo-gobject2,1.16.0-7,LOW
node:latest,CVE-2019-6461,libcairo-gobject2,1.16.0-7,LOW
node:latest,CVE-2019-6462,libcairo-gobject2,1.16.0-7,LOW
node:latest,CVE-2017-7475,libcairo-script-interpreter2,1.16.0-7,LOW
node:latest,CVE-2018-18064,libcairo-script-interpreter2,1.16.0-7,LOW
node:latest,CVE-2019-6461,libcairo-script-interpreter2,1.16.0-7,LOW
node:latest,CVE-2019-6462,libcairo-script-interpreter2,1.16.0-7,LOW
node:latest,CVE-2017-7475,libcairo2,1.16.0-7,LOW
node:latest,CVE-2018-18064,libcairo2,1.16.0-7,LOW
node:latest,CVE-2019-6461,libcairo2,1.16.0-7,LOW
node:latest,CVE-2019-6462,libcairo2,1.16.0-7,LOW
node:latest,CVE-2017-7475,libcairo2-dev,1.16.0-7,LOW
node:latest,CVE-2018-18064,libcairo2-dev,1.16.0-7,LOW
node:latest,CVE-2019-6461,libcairo2-dev,1.16.0-7,LOW
node:latest,CVE-2019-6462,libcairo2-dev,1.16.0-7,LOW
node:latest,CVE-2023-4039,libcc1-0,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libcc1-0,12.2.0-14,LOW
node:latest,CVE-2017-13716,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2018-18483,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2018-20673,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2018-20712,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2018-9996,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2021-32256,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2023-1972,libctf-nobfd0,2.40-2,LOW
node:latest,CVE-2017-13716,libctf0,2.40-2,LOW
node:latest,CVE-2018-18483,libctf0,2.40-2,LOW
node:latest,CVE-2018-20673,libctf0,2.40-2,LOW
node:latest,CVE-2018-20712,libctf0,2.40-2,LOW
node:latest,CVE-2018-9996,libctf0,2.40-2,LOW
node:latest,CVE-2021-32256,libctf0,2.40-2,LOW
node:latest,CVE-2023-1972,libctf0,2.40-2,LOW
node:latest,CVE-2024-2379,libcurl3-gnutls,7.88.1-10+deb12u6,LOW
node:latest,CVE-2024-2379,libcurl4,7.88.1-10+deb12u6,LOW
node:latest,CVE-2024-2379,libcurl4-openssl-dev,7.88.1-10+deb12u6,LOW
node:latest,CVE-2023-32570,libdav1d6,1.0.0-2+deb12u1,MEDIUM
node:latest,CVE-2023-51792,libde265-0,1.0.11-1+deb12u2,MEDIUM
node:latest,CVE-2024-38949,libde265-0,1.0.11-1+deb12u2,MEDIUM
node:latest,CVE-2024-38950,libde265-0,1.0.11-1+deb12u2,MEDIUM
node:latest,CVE-2021-46310,libdjvulibre-dev,3.5.28-2+b1,MEDIUM
node:latest,CVE-2021-46312,libdjvulibre-dev,3.5.28-2+b1,MEDIUM
node:latest,CVE-2021-46310,libdjvulibre-text,3.5.28-2,MEDIUM
node:latest,CVE-2021-46312,libdjvulibre-text,3.5.28-2,MEDIUM
node:latest,CVE-2021-46310,libdjvulibre21,3.5.28-2+b1,MEDIUM
node:latest,CVE-2021-46312,libdjvulibre21,3.5.28-2+b1,MEDIUM
node:latest,CVE-2024-25260,libelf1,0.188-2.1,LOW
node:latest,CVE-2023-52425,libexpat1,2.5.0-1,HIGH
node:latest,CVE-2023-52426,libexpat1,2.5.0-1,LOW
node:latest,CVE-2024-28757,libexpat1,2.5.0-1,LOW
node:latest,CVE-2023-52425,libexpat1-dev,2.5.0-1,HIGH
node:latest,CVE-2023-52426,libexpat1-dev,2.5.0-1,LOW
node:latest,CVE-2024-28757,libexpat1-dev,2.5.0-1,LOW
node:latest,CVE-2023-4039,libgcc-12-dev,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libgcc-12-dev,12.2.0-14,LOW
node:latest,CVE-2023-4039,libgcc-s1,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libgcc-s1,12.2.0-14,LOW
node:latest,CVE-2024-2236,libgcrypt20,1.10.1-3,MEDIUM
node:latest,CVE-2018-6829,libgcrypt20,1.10.1-3,LOW
node:latest,CVE-2012-0039,libglib2.0-0,2.74.6-2+deb12u3,LOW
node:latest,CVE-2012-0039,libglib2.0-bin,2.74.6-2+deb12u3,LOW
node:latest,CVE-2012-0039,libglib2.0-data,2.74.6-2+deb12u3,LOW
node:latest,CVE-2012-0039,libglib2.0-dev,2.74.6-2+deb12u3,LOW
node:latest,CVE-2012-0039,libglib2.0-dev-bin,2.74.6-2+deb12u3,LOW
node:latest,CVE-2011-3389,libgnutls30,3.7.9-2+deb12u3,LOW
node:latest,CVE-2023-4039,libgomp1,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libgomp1,12.2.0-14,LOW
node:latest,CVE-2017-13716,libgprofng0,2.40-2,LOW
node:latest,CVE-2018-18483,libgprofng0,2.40-2,LOW
node:latest,CVE-2018-20673,libgprofng0,2.40-2,LOW
node:latest,CVE-2018-20712,libgprofng0,2.40-2,LOW
node:latest,CVE-2018-9996,libgprofng0,2.40-2,LOW
node:latest,CVE-2021-32256,libgprofng0,2.40-2,LOW
node:latest,CVE-2023-1972,libgprofng0,2.40-2,LOW
node:latest,CVE-2024-26462,libgssapi-krb5-2,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libgssapi-krb5-2,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libgssapi-krb5-2,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libgssapi-krb5-2,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libgssapi-krb5-2,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libgssapi-krb5-2,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libgssrpc4,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libgssrpc4,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libgssrpc4,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libgssrpc4,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libgssrpc4,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libgssrpc4,1.20.1-2+deb12u1,LOW
node:latest,CVE-2023-25193,libharfbuzz0b,6.0.0+dfsg-3,HIGH
node:latest,CVE-2023-49460,libheif1,1.15.1-1,HIGH
node:latest,CVE-2023-49462,libheif1,1.15.1-1,HIGH
node:latest,CVE-2023-49463,libheif1,1.15.1-1,HIGH
node:latest,CVE-2023-49464,libheif1,1.15.1-1,HIGH
node:latest,CVE-2023-29659,libheif1,1.15.1-1,MEDIUM
node:latest,CVE-2024-25269,libheif1,1.15.1-1,LOW
node:latest,CVE-2023-4039,libhwasan0,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libhwasan0,12.2.0-14,LOW
node:latest,CVE-2023-4039,libitm1,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,libitm1,12.2.0-14,LOW
node:latest,CVE-2020-36325,libjansson4,2.14-2,LOW
node:latest,CVE-2017-9937,libjbig-dev,2.1-6.1,LOW
node:latest,CVE-2017-9937,libjbig0,2.1-6.1,LOW
node:latest,CVE-2024-26462,libk5crypto3,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libk5crypto3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libk5crypto3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libk5crypto3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libk5crypto3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libk5crypto3,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkadm5clnt-mit12,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkadm5clnt-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkadm5clnt-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkadm5clnt-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkadm5clnt-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkadm5clnt-mit12,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkadm5srv-mit12,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkadm5srv-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkadm5srv-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkadm5srv-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkadm5srv-mit12,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkadm5srv-mit12,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkdb5-10,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkdb5-10,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkdb5-10,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkdb5-10,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkdb5-10,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkdb5-10,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkrb5-3,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkrb5-3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkrb5-3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkrb5-3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkrb5-3,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkrb5-3,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkrb5-dev,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkrb5-dev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkrb5-dev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkrb5-dev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkrb5-dev,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkrb5-dev,1.20.1-2+deb12u1,LOW
node:latest,CVE-2024-26462,libkrb5support0,1.20.1-2+deb12u1,HIGH
node:latest,CVE-2024-26458,libkrb5support0,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-26461,libkrb5support0,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37370,libkrb5support0,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2024-37371,libkrb5support0,1.20.1-2+deb12u1,MEDIUM
node:latest,CVE-2018-5709,libkrb5support0,1.20.1-2+deb12u1,LOW
node:latest,CVE-2023-2953,libldap-2.5-0,2.5.13+dfsg-5,HIGH
node:latest,CVE-2015-3276,libldap-2.5-0,2.5.13+dfsg-5,LOW
node:latest,CVE-2017-14159,libldap-2.5-0,2.5.13+dfsg-5,LOW
node:latest,CVE-2017-17740,libldap-2.5-0,2.5.13+dfsg-5,LOW
node:latest,CVE-2020-15719,libldap-2.5-0,2.5.13+dfsg-5,LOW
node:latest,CVE-2023-4039,liblsan0,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,liblsan0,12.2.0-14,LOW
node:latest,CVE-2005-0406,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,libmagickcore-6-arch-config,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2005-0406,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,libmagickcore-6-headers,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2005-0406,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,libmagickcore-6.q16-6,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2005-0406,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,libmagickcore-6.q16-6-extra,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
